datum;nummer1;nummer2;nummer3;nummer4;nummer5;zz1;zz2;spielEinsatz;anzahlKlasse1;quoteKlasse1;anzahlKlasse2;quoteKlasse2;anzahlKlasse3;quoteKlasse3;anzahlKlasse4;quoteKlasse4;anzahlKlasse5;quoteKlasse5;anzahlKlasse6;quoteKlasse6;anzahlKlasse7;quoteKlasse7;anzahlKlasse8;quoteKlasse8;anzahlKlasse9;quoteKlasse9;anzahlKlasse10;quoteKlasse10;anzahlKlasse11;quoteKlasse11;anzahlKlasse12;quoteKlasse12;tag
19.07.2013;7;18;19;33;37;2;5;26.610.134,00 €;1;41.522.930,10 €;7;95.036,10 €;8;40.364,90 €;78;2.046,90 €;801;157,80 €;1.050;76,00 €;3.133;36,00 €;34.238;15,90 €;40.948;11,30 €;41.742;11,30 €;191.425;8,30 €;440.370;6,90 €;Fr
26.07.2013;4;13;19;25;43;3;4;16.136.078,00 €;0;0,00 €;4;101.657,20 €;1;101.657,20 €;38;2.547,80 €;490;156,40 €;559;86,50 €;1.503;45,60 €;21.231;15,50 €;19.528;14,20 €;22.399;12,90 €;93.475;10,30 €;277.668;6,60 €;Fr
02.08.2013;14;23;29;33;37;2;5;16.256.900,00 €;0;0,00 €;1;406.422,50 €;2;52.834,90 €;67;1.455,80 €;540;143,00 €;593;82,20 €;2.006;34,40 €;19.291;17,20 €;25.801;11,70 €;23.012;11,70 €;119.849;8,10 €;256.310;7,20 €;Fr
09.08.2013;7;26;32;34;49;1;6;16.252.982,00 €;0;0,00 €;0;0,00 €;0;0,00 €;22;4.461,70 €;335;231,90 €;437;112,30 €;1.193;58,20 €;15.213;22,00 €;17.532;16,00 €;22.177;13,20 €;92.601;10,60 €;216.919;8,60 €;Fr
16.08.2013;5;32;33;38;49;3;8;16.252.982,00 €;1;15.541.392,00 €;2;407.660,40 €;1;211.983,40 €;32;3.047,40 €;361;213,80 €;440;110,80 €;1.459;47,30 €;15.110;22,00 €;21.298;14,30 €;18.511;14,30 €;110.928;8,70 €;231.175;8,00 €;Fr
23.08.2013;4;10;25;30;47;2;3;15.026.618,00 €;0;0,00 €;3;125.221,80 €;8;12.209,10 €;19;4.745,20 €;360;198,20 €;423;106,50 €;997;64,00 €;15.795;19,50 €;14.379;18,00 €;17.785;15,20 €;76.905;11,70 €;226.817;7,60 €;Fr
30.08.2013;6;9;10;17;43;2;8;15.359.870,00 €;0;0,00 €;2;191.998,30 €;1;99.839,10 €;33;2.792,70 €;382;190,90 €;475;97,00 €;1.446;45,10 €;16.635;18,90 €;19.925;13,20 €;21.915;12,60 €;100.280;9,10 €;233.003;7,50 €;Fr
06.09.2013;3;7;20;32;44;4;5;15.552.022,00 €;0;0,00 €;0;0,00 €;2;50.544,00 €;31;3.010,00 €;409;180,60 €;494;94,40 €;1.316;50,20 €;16.087;19,80 €;18.933;14,10 €;20.693;13,50 €;98.229;9,40 €;229.713;7,70 €;Fr
13.09.2013;3;10;18;31;43;1;7;16.472.014,00 €;0;0,00 €;2;400.300,40 €;0;0,00 €;36;2.745,30 €;411;190,30 €;514;96,10 €;1.373;50,90 €;16.771;20,10 €;19.304;14,70 €;20.875;14,20 €;102.457;9,60 €;235.178;8,00 €;Fr
20.09.2013;2;6;15;18;24;5;7;16.635.674,00 €;0;0,00 €;3;138.630,30 €;5;43.039,90 €;39;2.559,30 €;472;167,40 €;644;77,40 €;1.531;46,10 €;19.296;17,60 €;21.147;13,50 €;23.669;12,60 €;113.908;8,70 €;257.832;7,40 €;Fr
27.09.2013;6;10;21;34;36;1;4;17.849.806,00 €;1;21.256.582,40 €;6;74.374,10 €;2;58.011,80 €;26;4.119,10 €;352;240,80 €;508;105,40 €;1.264;60,00 €;15.941;22,90 €;18.252;16,80 €;22.164;14,40 €;96.643;11,00 €;238.822;8,50 €;Fr
04.10.2013;1;7;16;21;48;1;8;15.058.424,00 €;0;0,00 €;1;375.460,60 €;1;97.879,70 €;17;5.314,70 €;269;265,90 €;355;127,20 €;1.097;48,30 €;13.721;22,40 €;18.147;14,40 €;18.668;14,40 €;93.795;9,60 €;200.700;8,60 €;Fr
11.10.2013;2;11;23;29;34;7;8;14.879.350,00 €;0;0,00 €;3;123.994,50 €;2;48.357,80 €;25;3.571,00 €;366;193,10 €;454;98,30 €;971;65,10 €;16.597;18,30 €;14.594;17,50 €;19.873;13,40 €;77.179;11,50 €;235.949;7,20 €;Fr
18.10.2013;7;22;24;25;41;1;3;15.201.994,00 €;1;13.308.947,80 €;2;190.024,90 €;1;98.812,90 €;26;3.508,10 €;283;255,10 €;379;120,30 €;1.096;58,90 €;15.229;20,40 €;16.009;16,30 €;18.990;14,40 €;85.279;10,60 €;229.355;7,60 €;Fr
25.10.2013;9;25;39;41;46;2;8;14.374.838,00 €;0;0,00 €;0;0,00 €;0;0,00 €;29;2.974,10 €;298;229,10 €;357;120,70 €;1.033;59,10 €;12.154;24,20 €;15.740;16,00 €;15.832;16,00 €;89.259;9,60 €;185.394;8,80 €;Fr
01.11.2013;7;10;13;26;27;5;8;14.138.518,00 €;0;0,00 €;1;712.883,90 €;2;92.668,40 €;30;2.827,70 €;468;143,40 €;662;64,00 €;1.471;40,80 €;20.352;14,20 €;18.965;12,80 €;27.219;9,50 €;88.504;9,50 €;250.401;6,40 €;Fr
08.11.2013;18;25;28;34;42;3;4;15.300.326,00 €;0;0,00 €;4;95.627,00 €;3;33.150,70 €;33;2.781,80 €;374;194,30 €;384;119,50 €;1.225;53,00 €;16.440;19,00 €;17.050;15,40 €;18.149;15,10 €;86.325;10,60 €;236.900;7,40 €;Fr
15.11.2013;3;19;32;43;48;4;8;15.722.118,00 €;0;0,00 €;0;0,00 €;0;0,00 €;41;2.300,70 €;357;209,10 €;516;91,40 €;1.283;52,00 €;14.908;21,60 €;18.447;14,70 €;20.851;13,50 €;96.704;9,70 €;213.081;8,40 €;Fr
22.11.2013;1;38;39;42;47;1;2;16.126.114,00 €;0;0,00 €;2;398.102,90 €;2;103.506,70 €;27;3.583,50 €;224;341,90 €;263;183,90 €;949;72,20 €;12.526;26,30 €;14.221;19,50 €;15.081;19,20 €;78.482;12,30 €;197.326;9,30 €;Fr
